"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35"
"COLUMBIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDEN PRAIRIE",NA,NA,NA,NA,NA,8,8,8,8,12,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"PLANO",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"WEST DES MOINES",NA,8,NA,8,8,8,8,8,8,8,8,NA,12,12,8,8,12,12,8,8,8,8,8,8,8,8,11,8,8,12,11,11,8,8,12
"PARSIPPANY TROY HILLS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIGHLANDS RANCH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CLARKSTOWN",12,8,12,12,12,12,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WESTON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"BEAVERTON",11,8,8,11,8,8,8,8,8,8,8,8,11,8,8,8,8,8,11,11,8,8,8,8,8,8,8,12,12,12,8,12,12,12,12
"NAPERVILLE",8,8,8,8,8,8,8,8,8,8,8,8,12,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"WOODBURY",11,8,11,8,8,8,8,12,8,8,8,12,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"PFLUGERVILLE",NA,NA,NA,NA,24,24,11,11,11,4,12,11,8,8,11,11,8,8,11,8,8,8,8,11,11,8,11,11,8,8,12,12,8,12,12
"CENTENNIAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,8,12,8,12,12,12,12,12,12,12,12,12
"SAMMAMISH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"WEST HARTFORD",8,8,8,12,12,12,12,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"NASHUA",11,NA,8,11,12,8,11,11,8,11,11,8,11,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,8,8,24,24,24,11,24,11,11,11
"EASTVALE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12
"EULESS",8,8,8,8,11,24,24,11,11,11,24,11,11,24,24,11,24,24,24,8,8,11,8,8,8,24,8,8,8,8,11,8,8,8,8
"EDISON",8,8,8,8,8,8,8,8,8,8,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRVINE",8,8,8,8,8,8,8,8,8,8,8,8,8,12,8,8,8,8,8,8,8,12,8,12,12,12,12,12,12,12,12,12,12,12,12
"SAN RAMON",NA,NA,NA,NA,NA,12,12,8,8,8,12,12,8,12,12,12,12,12,12,12,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"ASHBURN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FRANKLIN",8,8,8,11,24,24,8,24,24,8,8,8,24,24,8,11,11,4,8,8,8,8,8,8,8,8,8,11,8,8,8,11,8,8,8
"APPLETON",8,8,11,11,8,11,12,8,8,8,8,12,8,8,12,12,8,8,NA,8,8,8,8,8,11,11,11,11,8,11,8,11,11,11,11
"BROOMFIELD",8,24,24,24,24,24,24,8,24,24,24,24,11,24,24,24,24,24,11,8,11,11,NA,NA,NA,12,12,12,12,12,12,12,12,12,12
"CHERRY HILL",8,8,8,8,8,8,8,8,8,8,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
