,city,aypi,population
1,PFLUGERVILLE,0.179095063,54820
2,HUNTERSVILLE,0.230520085,51374
3,MURRIETA,0.981484349,108376
4,CEDAR PARK,0.126412717,60113
5,GOODYEAR,0.109186669,74826
6,JOHNSON CITY,0.401495477,63867
7,ALPHARETTA,0.101887995,63478
8,BUCKEYE,0.128223781,58126
9,SURPRISE,0.133794824,125049
10,CASTLE ROCK,0.08733927,54253
11,FLOWER MOUND,0.092247392,69349
12,BRENTWOOD,0.082515537,55826
13,FRISCO,0.126427219,87863
14,MARYSVILLE,0.096953435,64063
15,GILBERT,0.129801166,235430
16,NORTH PORT,0.083577906,59668
17,COCONUT CREEK,0.077576701,57766
18,ROWLETT,0.071012762,51251
19,HOOVER,0.108201733,60470
20,MERIDIAN,0.081915894,85733
21,PERRIS,0.077435007,73223
22,LEHI,0.066617022,56080
23,ROCKLIN,0.067082365,60371
24,SOUTH JORDAN,0.068308365,61601
25,MANSFIELD,0.062001935,60131
26,AVONDALE,0.111327433,79472
27,ALLEN,0.076835335,93889
28,MURFREESBORO,0.136280092,119005
29,GEORGETOWN,0.057051462,56782
30,JUPITER,0.062662047,59039
31,O'FALLON,0.088202472,83550
32,WOODBURY,0.059303924,66539
33,RIO RANCHO,0.081372426,92957
34,FOLSOM,0.059667736,73329
35,PALM BEACH GARDENS,0.050383061,51210
36,ROUND ROCK,0.071340053,110577
37,GRAPEVINE,0.045946091,51135
38,CASA GRANDE,0.044701157,50207
39,TIGARD,0.046921601,51024
40,SUGAR LAND,0.073309093,85055
41,PALMDALE,0.087091579,158210
42,PEARLAND,0.063979514,97054
43,PEORIA,0.085218914,164715
44,FRANKLIN,0.054332709,70485
45,CATHEDRAL CITY,0.051514376,53368
46,MOUNT PLEASANT,0.055729539,76702
47,DUBLIN,0.043863454,53795
48,BROOMFIELD,0.056901417,60693
49,LAKEVILLE,0.042653152,59194
50,KISSIMMEE,0.046899248,66623
51,ANKENY,0.040002654,53099
52,DESOTO,0.037235778,52038
53,MCKINNEY,0.071699259,152806
54,COMMERCE CITY,0.035705712,50754
55,LEAGUE CITY,0.052162733,91023
56,DELANO,0.035191389,52224
57,CONCORD,0.056642747,84558
58,PASCO,0.043157248,69115
59,BEND,0.051836183,82418
60,BARTLETT,0.040107826,58529
61,ROGERS,0.039811322,61105
