"","city","state"
"128486","TAVISTOCK","29"
"68370","LAKESIDE","5"
"12595","TAVISTOCK BOROUGH","29"
"49041","SEVEN SPRINGS","37"
"29409","PINE VALLEY","29"
"4101","TETERBORO","29"
"47324","BEACH MOUNTAIN","32"
"4939","SALTAIRE","31"
"148628","INDIAN CREEK VILLAGE","9"
"55835","SUGAR MOUNTAIN","32"
"182339","RANDOLPH","24"
"218704","TAOS SKI VALLEY","30"
"5098","INDIAN BEACH","32"
"190947","LA TOUR VILLAGE","24"
"60774","SKY VALLEY","10"
"4941","OCEAN BEACH VILLAGE","31"
"116296","BRIAN HEAD","43"
"182425","KIMMSWICK","24"
"159020","ANGEL FIRE","30"
"1026","FENWICK ISLAND","7"
"26022","BLACK HAWK","5"
"58455","JONESTOWN","42"
"5076","OCEAN ISLE BEACH","32"
"121725","SEVEN DEVILS","32"
"16188","GLEN LYN","45"
"8040","WARDENSVILLE","47"
"49289","SALEM","39"
"34754","SOUTH BETHANY","7"
"884","ALMA","5"
"177207","LA GRANGE","41"
"1810","HAINSVILLE","12"
"155496","BEAR VALLEY","4"
"169064","PAWLEYS ISLAND","39"
"69832","CARRABASSETT VALLEY","18"
"3964","WATERVILLE VALLEY","28"
"115835","CUNEY","42"
"3008","MICHIANA","21"
"208798","HURLEY","24"
"1896","SAUGET","12"
"217820","GLEN ECHO PARK","24"
"517","BEAR VALLEY SPRINGS","4"
"1119","MEDLEY","9"
"2663","GOLDSBORO","19"
"516","STALLION SPRINGS","4"
"41280","CANEY CITY","42"
"17844","DEWEY BEACH","7"
"125075","PICKENSVILLE","1"
"68745","DILLARD","10"
"52566","OLD SHAWNEETOWN","12"
"634","SAND CITY","4"
"97650","MAGGIE VALLEY","32"
"4094","ROCKLEIGH","29"
"182338","MOSBY","24"
"222457","MALDEN","46"
"123759","COFFEE CITY","42"
"4326","LOCH ARBOUR","29"
"15526","CUMBERLAND GAP","41"
"39544","DIBBLE","35"
"8106","KERMIT","47"
"182566","LEADINGTON","24"
"109484","SOMERVILLE","1"
"182445","BATES CITY","24"
