"","city","state"
"4101","TETERBORO","29"
"148628","INDIAN CREEK VILLAGE","9"
"55835","SUGAR MOUNTAIN","32"
"182339","RANDOLPH","24"
"218704","TAOS SKI VALLEY","30"
"5098","INDIAN BEACH","32"
"190947","LA TOUR VILLAGE","24"
"60774","SKY VALLEY","10"
"182425","KIMMSWICK","24"
"159020","ANGEL FIRE","30"
"1026","FENWICK ISLAND","7"
"58455","JONESTOWN","42"
"5076","OCEAN ISLE BEACH","32"
"121725","SEVEN DEVILS","32"
"8040","WARDENSVILLE","47"
"34754","SOUTH BETHANY","7"
"884","ALMA","5"
"155496","BEAR VALLEY","4"
"169064","PAWLEYS ISLAND","39"
"69832","CARRABASSETT VALLEY","18"
"3964","WATERVILLE VALLEY","28"
"208798","HURLEY","24"
"517","BEAR VALLEY SPRINGS","4"
"1119","MEDLEY","9"
"2663","GOLDSBORO","19"
"516","STALLION SPRINGS","4"
"125075","PICKENSVILLE","1"
"68745","DILLARD","10"
"634","SAND CITY","4"
"97650","MAGGIE VALLEY","32"
"4094","ROCKLEIGH","29"
"123759","COFFEE CITY","42"
"15526","CUMBERLAND GAP","41"
"39544","DIBBLE","35"
"182566","LEADINGTON","24"
"109484","SOMERVILLE","1"
"50803","ORANGE BEACH","1"
"13474","HOLDEN BEACH","32"
"285530","FISHER","17"
"66058","EDISTO BEACH","39"
"182304","GRANDIN","24"
"13648","TOPSAIL BEACH","32"
"89093","BEECH MOUNTAIN","32"
"14318","BUTTE FALLS","36"
"161237","TOWNSEND","41"
"182510","WARDELL","24"
"3039","MACKINAW CITY","21"
"34609","VICTOR","5"
"5322","MORRISVILLE","32"
"141139","CHESWOLD","7"
"26051","DE BEQUE","5"
"109515","VANCE","1"
"170392","ROY","46"
"43159","MOUNT CRESTED BUTTE","5"
"248456","SAWYER","35"
"9881","HELEN","10"
"86886","GREAT OAKS","19"
"152400","TUSHKA","35"
"7293","SELMA","42"
"157","HILLSBORO","1"
"17009","ARLEY","1"
"99247","SELLERS","39"
"148370","COLLBRAN","5"
"198340","SADIEVILLE","16"
"99300","CHAPIN","39"
"83252","MUSTANG RIDGE","42"
"256586","KINLOCH","24"
"12962","JEMEZ SPRINGS","30"
"76968","EAST ELLIJAY","10"
"260241","SALTILLO","41"
"23753","ATLANTIC BEACH","39"
"161290","GIBSON","41"
"1223","MANALAPAN","9"
"102247","HAMILTON","10"
"58948","HARPERS FERRY/BOLIVAR","47"
"100382","WINTHROP","46"
"876","DINOSAUR","5"
"1033","ELLENDALE","7"
"4546","RED RIVER","30"
"85379","DANIELSVILLE","10"
"69686","MOUND VALLEY","15"
"41603","WINHALL","44"
"1024","BETHANY BEACH","7"
"306","JEROME","2"
"177250","TOONE","41"
"4183","WEST WILDWOOD","29"
"9236","CENTRAL CITY","5"
"7241","MASON","41"
"125049","SHORTER","1"
"7059","SANTEE","39"
"52215","BRASELTON","10"
"227","NEW SITE","1"
"182342","HOLT","24"
"1025","DAGSBORO","7"
"123651","MARSHALL CREEK","42"
"97716","NORTH TOPSAIL BEACH","32"
"8054","HARPERS FERRY","47"
"44301","GODLEY","12"
"7419","JAMAICA BEACH","42"
"157034","POLLOCK","17"
"1185","JUPITER ISLAND","9"
"8567","PRICEVILLE","1"
"7140","ROSSVILLE","41"
"208431","ELLSINORE","24"
"68799","MCINTYRE","10"
"86239","PAWNEE ROCK","15"
"34523","PARKER","5"
"26016","PARACHUTE","5"
"26081","DILLON","5"
"144886","STRINGTOWN","35"
"5321","ROLESVILLE","32"
"4590","ELLICOTTVILLE","31"
"114016","PARKTON PD","32"
"7585","ONALASKA","42"
"141332","SHALIMAR","9"
"3161","SAND LAKE","21"
"196154","ST. FLORIAN","1"
"9237","GRAND LAKE","5"
"162392","WILKESON","46"
"60742","REMERTON","10"
"35199","DAVISBORO","10"
"9277","FAIRPLAY","5"
"5255","SURF CITY","32"
"223005","DOZIER","1"
"195111","BIG WATER","43"
"5072","WHITE LAKE","32"
"7978","NORTH BONNEVILLE","46"
"92010","VADER","46"
"100076","STOCKTON","43"
"182654","BRANSON WEST","24"
"5793","BOLEY","35"
"5872","MONROE","36"
"217469","BUTTERFIELD VILLAGE","24"
"167709","WASHINGTONVILLE","34"
"68405","RIDGWAY","5"
"182532","FAIR PLAY","24"
"7172","SCOTTS HILL","41"
"52214","MAYSVILLE","10"
"731","COLMA","4"
"179279","ROSE BUD","3"
"43203","RIDGEWAY","5"
"113888","YOUNGSVILLE","32"
"1118","GOLDEN BEACH","9"
"240176","SUMMERSET","40"
"99206","EHRHARDT","39"
"99338","CAMPOBELLO","39"
"5103","BROOKFORD","32"
"92006","MOSSYROCK","46"
"3181","MACKINAC ISLAND","21"
"5247","HOLLY RIDGE","32"
"169775","HAWK COVE","42"
"182345","TRIMBLE","24"
"5068","LEWISTON","32"
"13506","CATAWBA","32"
"5124","BRIDGETON","32"
"149458","PORT VINCENT","17"
"3006","EAU CLAIRE","21"
"182459","HAWK POINT","24"
"18865","WHITESTOWN","13"
"91482","NEW DEAL","42"
"288824","COALTON","34"
"36977","OTTER LAKE","21"
"131408","KENDLETON","42"
"182652","REEDS SPRING","24"
"1217","GULF STREAM","9"
"5963","GASTON","36"
"189518","MACKSVILLE","15"
"5292","LAKE LURE","32"
"5733","ELMORE CITY","35"
"93924","FRANKLIN SPRINGS","10"
"4714","GLEN PARK","31"
"39286","KIRTLAND HILLS","34"
"6251","FRANKLIN","37"
"138512","CARLISLE","39"
"5298","WAGRAM","32"
"144971","HOWE","35"
"5805","LUTHER","35"
"882","WIGGINS","5"
"422","JOHNSON","3"
"202155","FAIRFIELD","37"
"1031","OCEAN VIEW","7"
"1127","CENTURY","9"
"3483","MINNETONKA BEACH","22"
"99191","BURNETTOWN","39"
"5297","GIBSON","32"
"38","ROBERTSDALE","1"
"169205","BIG SANDY","41"
"173706","METAMORA TOWNSHIP","21"
"93978","LAKE PARK","10"
"186342","MONTGOMERY","42"
"239","PINE HILL","1"
"7927","OAKVILLE","46"
"164896","LITTLE RIVER","15"
"3272","HESPERIA","21"
"14320","CULVER","36"
"33074","URBANNA","45"
"124394","REARDAN","46"
"191022","MATTHEWS","24"
"850","BASALT","5"
"67546","KLAWOCK","50"
"91831","LA CROSSE","45"
"7042","SWANSEA","39"
"261124","SPRINGDALE","43"
"199","WADLEY","1"
"7797","MIDDLEBURG","45"
"774","FORT JONES","4"
"4536","CUBA","30"
"182527","EDGERTON","24"
"89243","TAYLORTOWN","32"
"1002","FELTON","7"
"1028","GREENWOOD","7"
"92008","PE ELL","46"
"195334","NOOKSACK TRIBAL","46"
"6988","TURBEVILLE","39"
"1501","SUN VALLEY","11"
"126488","PONDERAY","11"
"6404","MILLBOURNE","37"
"46282","CARROLL","28"
"162913","ELBERTA","1"
