"","city","aypi"
"1","PFLUGERVILLE",0.179095063196091
"2","HUNTERSVILLE",0.230520085463196
"3","MURRIETA",0.981484349431449
"4","ABINGTON TOWNSHIP",2.71349402271449
"5","CEDAR PARK",0.126412716741014
"6","GOODYEAR",0.10918666860536
"7","JOHNSON CITY",0.401495477330322
"8","ALPHARETTA",0.101887994514497
"9","MILLCREEK TOWNSHIP",1.95336276049589
"10","BUCKEYE",0.128223780821406
"11","SURPRISE",0.133794823803635
"12","CASTLE ROCK",0.0873392696391638
"13","FLOWER MOUND",0.0922473916314565
"14","BRENTWOOD",0.0825155369051339
"15","FRISCO",0.126427218991097
"16","MARYSVILLE",0.0969534346981515
"17","GILBERT",0.129801166487767
"18","NORTH PORT",0.083577905690401
"19","COCONUT CREEK",0.0775767013752074
"20","ROWLETT",0.0710127620952513
"21","HOOVER",0.108201733064073
"22","MERIDIAN",0.0819158939340683
"23","PERRIS",0.0774350069969274
"24","LEHI",0.0666170224102559
"25","ROCKLIN",0.0670823652888339
"26","SOUTH JORDAN",0.0683083648207943
"27","MANSFIELD",0.0620019350719414
"28","AVONDALE",0.111327432802751
"29","ALLEN",0.0768353353987647
"30","MURFREESBORO",0.136280092009253
"31","HAMILTON TOWNSHIP",1.28448702880063
"32","GEORGETOWN",0.0570514619000883
"33","JUPITER",0.0626620474019426
"34","O'FALLON",0.0882024724140196
"35","WOODBURY",0.0593039240186252
"36","RIO RANCHO",0.0813724262910284
"37","FOLSOM",0.059667736435714
"38","PALM BEACH GARDENS",0.0503830608495845
"39","ROUND ROCK",0.0713400528489425
"40","GRAPEVINE",0.0459460913807306
"41","CASA GRANDE",0.0447011568743119
"42","TIGARD",0.0469216006192232
"43","SUGAR LAND",0.0733090927558153
"44","PALMDALE",0.0870915788770274
"45","PEARLAND",0.0639795143805112
"46","PEORIA",0.0852189141211113
"47","FRANKLIN",0.0543327089124822
"48","CATHEDRAL CITY",0.0515143759472473
"49","MOUNT PLEASANT",0.0557295386028027
"50","DUBLIN",0.0438634540215464
"51","BROOMFIELD",0.0569014174212982
"52","LAKEVILLE",0.0426531516876149
"53","KISSIMMEE",0.0468992479685153
"54","ANKENY",0.0400026543295114
"55","DESOTO",0.037235778232505
"56","MCKINNEY",0.071699258500947
"57","COMMERCE CITY",0.0357057118265638
"58","LEAGUE CITY",0.0521627328874005
"59","DELANO",0.0351913889481374
"60","CONCORD",0.0566427469119663
"61","PASCO",0.0431572477473054
"62","BEND",0.0518361832945933
"63","BARTLETT",0.0401078256537681
"64","ROGERS",0.0398113215366017
"65","VICTORVILLE",0.0731349307459243
"66","CONROE",0.0392605194478163
"67","PALM BAY",0.0602398418546208
"68","CARMEL",0.0500066066512347
"69","PORT ORANGE",0.0370691734599459
"70","TRACY",0.0471997220146517
"71","LENEXA",0.0519384726640767
"72","FISHERS",0.0988205394717526
"73","KIRKLAND",0.0567631257089308
"74","LAKE ELSINORE",0.0523562095574408
"75","YUBA CITY",0.0386720956222125
"76","EDEN PRAIRIE",0.0438271545050601
"77","GREENWOOD",0.0312661316189786
"78","SOUTHAVEN",0.0645618152826572
"79","PORTERVILLE",0.032486447020437
"80","HARRISONBURG",0.0305665116920401
"81","HOMESTEAD",0.0410763471857539
"82","COLTON",0.0305491606937867
"83","CONWAY",0.0353748872971796
"84","MAPLE GROVE",0.0362549898433612
"85","DAVIE",0.0586727634163184
"86","SMYRNA",0.0326686852413083
"87","EAGAN",0.0359984523781531
"88","SANFORD",0.0323988382179766
"89","HANFORD",0.0297698265087093
"90","PHARR",0.0383314139246075
"91","GILROY",0.0271379400881617
"92","DORAL",0.0717068293597077
"93","MISSOURI CITY",0.0372785540636597
"94","INDIO",0.0451553554391531
"95","BELLEVUE",0.0305310527730126
"96","MADERA",0.0325740769594331
"97","APPLE VALLEY",0.0254758490017316
"98","CARY",0.0605020213166071
"99","SAN RAMON",0.04637244933982
"100","NOVI",0.0291538090720093
"101","NEW BRAUNFELS",0.0265933870544349
"102","MISSION",0.0401917709121169
"103","HEMET",0.041338593207872
"104","TULARE",0.0304077296992665
"105","ORLAND PARK",0.051454521339348
"106","REDMOND",0.0278536282122673
"107","SAN MARCOS",0.0285223721611228
"108","KENT",0.0573812372294983
"109","ROSWELL",0.0620464508213423
"110","LAYTON",0.0370857565106063
