"","city","aypi","population"
"1","PFLUGERVILLE",0.179095063196091,54820
"2","HUNTERSVILLE",0.230520085463196,51374
"3","MURRIETA",0.981484349431449,108376
"4","ABINGTON TOWNSHIP",2.71349402271449,55628
"5","CEDAR PARK",0.126412716741014,60113
"6","GOODYEAR",0.10918666860536,74826
"7","JOHNSON CITY",0.401495477330322,63867
"8","ALPHARETTA",0.101887994514497,63478
"9","MILLCREEK TOWNSHIP",1.95336276049589,54407
"10","BUCKEYE",0.128223780821406,58126
"11","SURPRISE",0.133794823803635,125049
"12","CASTLE ROCK",0.0873392696391638,54253
"13","FLOWER MOUND",0.0922473916314565,69349
"14","BRENTWOOD",0.0825155369051339,55826
"15","FRISCO",0.126427218991097,87863
"16","MARYSVILLE",0.0969534346981515,64063
"17","GILBERT",0.129801166487767,235430
"18","NORTH PORT",0.083577905690401,59668
"19","COCONUT CREEK",0.0775767013752074,57766
"20","ROWLETT",0.0710127620952513,51251
"21","HOOVER",0.108201733064073,60470
"22","MERIDIAN",0.0819158939340683,85733
"23","PERRIS",0.0774350069969274,73223
"24","LEHI",0.0666170224102559,56080
"25","ROCKLIN",0.0670823652888339,60371
"26","SOUTH JORDAN",0.0683083648207943,61601
"27","MANSFIELD",0.0620019350719414,60131
"28","AVONDALE",0.111327432802751,79472
"29","ALLEN",0.0768353353987647,93889
"30","MURFREESBORO",0.136280092009253,119005
"31","HAMILTON TOWNSHIP",1.28448702880063,26802
"32","GEORGETOWN",0.0570514619000883,56782
"33","JUPITER",0.0626620474019426,59039
"34","O'FALLON",0.0882024724140196,83550
"35","WOODBURY",0.0593039240186252,66539
"36","RIO RANCHO",0.0813724262910284,92957
"37","FOLSOM",0.059667736435714,73329
"38","PALM BEACH GARDENS",0.0503830608495845,51210
"39","ROUND ROCK",0.0713400528489425,110577
"40","GRAPEVINE",0.0459460913807306,51135
"41","CASA GRANDE",0.0447011568743119,50207
"42","TIGARD",0.0469216006192232,51024
"43","SUGAR LAND",0.0733090927558153,85055
"44","PALMDALE",0.0870915788770274,158210
"45","PEARLAND",0.0639795143805112,97054
"46","PEORIA",0.0852189141211113,164715
"47","FRANKLIN",0.0543327089124822,70485
"48","CATHEDRAL CITY",0.0515143759472473,53368
"49","MOUNT PLEASANT",0.0557295386028027,76702
"50","DUBLIN",0.0438634540215464,53795
"51","BROOMFIELD",0.0569014174212982,60693
"52","LAKEVILLE",0.0426531516876149,59194
"53","KISSIMMEE",0.0468992479685153,66623
"54","ANKENY",0.0400026543295114,53099
"55","DESOTO",0.037235778232505,52038
"56","MCKINNEY",0.071699258500947,152806
"57","COMMERCE CITY",0.0357057118265638,50754
"58","LEAGUE CITY",0.0521627328874005,91023
"59","DELANO",0.0351913889481374,52224
"60","CONCORD",0.0566427469119663,84558
"61","PASCO",0.0431572477473054,69115
"62","BEND",0.0518361832945933,82418
"63","BARTLETT",0.0401078256537681,58529
"64","ROGERS",0.0398113215366017,61105
"65","VICTORVILLE",0.0731349307459243,122316
"66","CONROE",0.0392605194478163,64446
"67","PALM BAY",0.0602398418546208,105287
"68","CARMEL",0.0500066066512347,87555
"69","PORT ORANGE",0.0370691734599459,57359
"70","TRACY",0.0471997220146517,85078
"71","LENEXA",0.0519384726640767,50876
"72","FISHERS",0.0988205394717526,85597
"73","KIRKLAND",0.0567631257089308,85352
"74","LAKE ELSINORE",0.0523562095574408,58665
"75","YUBA CITY",0.0386720956222125,65525
"76","EDEN PRAIRIE",0.0438271545050601,63036
"77","GREENWOOD",0.0312661316189786,54345
"78","SOUTHAVEN",0.0645618152826572,51474
"79","PORTERVILLE",0.032486447020437,55391
"80","HARRISONBURG",0.0305665116920401,52026
"81","HOMESTEAD",0.0410763471857539,64938
"82","COLTON",0.0305491606937867,53485
"83","CONWAY",0.0353748872971796,64895
"84","MAPLE GROVE",0.0362549898433612,66354
"85","DAVIE",0.0586727634163184,98010
"86","SMYRNA",0.0326686852413083,53965
"87","EAGAN",0.0359984523781531,65754
"88","SANFORD",0.0323988382179766,56601
"89","HANFORD",0.0297698265087093,54824
"90","PHARR",0.0383314139246075,74555
"91","GILROY",0.0271379400881617,52415
"92","DORAL",0.0717068293597077,51350
"93","MISSOURI CITY",0.0372785540636597,64943
"94","INDIO",0.0451553554391531,84540
"95","BELLEVUE",0.0305310527730126,54251
"96","MADERA",0.0325740769594331,63495
"97","APPLE VALLEY",0.0254758490017316,50472
"98","CARY",0.0605020213166071,153365
"99","SAN RAMON",0.04637244933982,75049
"100","NOVI",0.0291538090720093,58654
"101","NEW BRAUNFELS",0.0265933870544349,53308
"102","MISSION",0.0401917709121169,81871
"103","HEMET",0.041338593207872,82412
"104","TULARE",0.0304077296992665,61596
"105","ORLAND PARK",0.051454521339348,58871
"106","REDMOND",0.0278536282122673,58311
"107","SAN MARCOS",0.0285223721611228,56620
"108","KENT",0.0573812372294983,125837
"109","ROSWELL",0.0620464508213423,95387
"110","LAYTON",0.0370857565106063,71629
"111","EDINBURG",0.0381335518722904,82349
"112","PALM DESERT",0.0362656480926953,50971
"113","EULESS",0.025046819923882,53674
"114","LEWISVILLE",0.0463046159420356,101566
"115","ROSEVILLE",0.0517968204239135,128997
"116","WATSONVILLE",0.0242221736115645,52778
"117","HENDERSON",0.0759190594676112,274121
"118","HOWELL TOWNSHIP",0.0224062312369425,51884
"119","LAKE HAVASU CITY",0.0345918097658769,52892
"120","MANTECA",0.0325443028860654,73055
"121","NAMPA",0.0397028775452933,87735
"122","BURIEN",0.0393365523067182,50284
"123","JACKSON TOWNSHIP",0.0238686954462694,56347
"124","AUBURN",0.0300140786289647,68071
"125","BLUE SPRINGS",0.0229799334880079,53440
"126","TURLOCK",0.0302959306669636,70786
"127","WESTON",0.0827769606269896,69129
"128","CHICO",0.0372888882224621,88562
"129","HENDERSONVILLE",0.0238346603635676,54728
"130","NORTHERN YORK REGIONAL",0.033748063039713,67742
"131","WEST SACRAMENTO",0.0251456570300284,50152
"132","WEST JORDAN",0.0447475432714386,111618
"133","CARROLLTON",0.0320351536842206,75522
"134","TUSTIN",0.0339006700121686,79046
"135","FREDERICK",0.0277119776117439,67257
"136","SAN CLEMENTE",0.026461332851467,65397
"137","TEMECULA",0.0639820563901897,108308
"138","NORTH RICHLAND HILLS",0.0275467264760892,68309
"139","CHINO HILLS",0.0555287104136315,76972
"140","AUBURN",0.0227180916479782,59854
"141","YORBA LINDA",0.0270799066772336,67702
"142","TAMARAC",0.0271651162664079,63796
"143","BLAINE",0.0244251309418771,61187
"144","DIAMOND BAR",0.0370079060081959,56665
"145","GRAND JUNCTION",0.0233801367337577,59972
"146","HILLSBORO",0.0404050682650592,98635
"147","SHAWNEE",0.030888024207293,64834
"148","BRADENTON",0.0184268356629859,52350
"149","CHANDLER",0.0679884545130035,252369
"150","RENTON",0.0376450427124597,98240
"151","KENTWOOD",0.0152556225874112,50617
"152","MARIETTA",0.0219175251529778,59663
"153","HIGHLAND",0.0243768686115672,54559
"154","WOODLAND",0.0189875984325663,56854
"155","LOVELAND",0.027877049989498,72465
"156","JONESBORO",0.0273818615743411,72569
"157","KINGSPORT",0.0151306869188815,50101
"158","CHAPEL HILL",0.0197293528346341,57223
"159","MISSOULA",0.0416072485362927,69674
"160","CUPERTINO",0.0207624698764489,60564
"161","DEERFIELD BEACH",0.0319277619599408,78773
"162","PLYMOUTH",0.026607407610433,74833
"163","WELLINGTON",0.0460957659570306,61069
"164","CAPE CORAL",0.054898134370374,168712
"165","PALATINE",0.047593429493125,69533
"166","BEAVERTON",0.0344247105815848,94416
"167","WESTMINSTER",0.0277521925685609,68069
"168","CLOVIS",0.0345879398872611,100705
"169","RICHLAND",0.0140448519585493,53445
"170","PINELLAS PARK",0.0135541360925103,50213
"171","MIRAMAR",0.0461588807369752,132352
"172","PITTSBURG",0.0217778413592304,67509
"173","GRESHAM",0.0394109384436595,110276
"174","APPLE VALLEY",0.0342739224951007,71329
"175","YUCAIPA",0.0203450337360441,52794
"176","GRAND ISLAND",0.0130215899443844,50999
"177","PETALUMA",0.0174454597403999,59803
"178","HOBOKEN",0.00849976245869536,53303
"179","KENNEWICK",0.0252895689600267,77381
"180","SOUTHAMPTON TOWN",0.015830707224536,50819
"181","CARLSBAD",0.0366485756635489,112297
"182","DELRAY BEACH",0.0215172381335738,64917
"183","SAMMAMISH",0.0302114239153914,51016
"184","BOYNTON BEACH",0.0236026305948228,71801
"185","EDMOND",0.028469000093886,88383
"186","FONTANA",0.055414299827996,204532
"187","GREENVILLE",0.032613852280713,90198
"188","FLAGSTAFF",0.020905452079185,69490
"189","MOORE",0.016026549335209,59188
"190","BATTLE CREEK",0.0269776828720748,61225
"191","PLEASANTON",0.0232575446539148,75060
"192","PLACENTIA",0.0121713095631267,52513
"193","ROCK HILL",0.0210016323554861,69754
"194","LODI",0.017588842149018,63601
"195","GLENDORA",0.0111634881663607,51292
"196","NORMAL",0.0266730980845737,55185
"197","PEMBROKE PINES",0.0522146712169813,164372
"198","BURNSVILLE",0.0170401535122226,61693
"199","MILPITAS",0.0204260245080867,70568
"200","PLYMOUTH",0.0227153986948446,58292
"201","COON RAPIDS",0.0185175882806867,62242
"202","MARGATE",0.0147569776033973,55982
"203","OCALA",0.0165680387096863,57740
"204","BOLINGBROOK",0.040005939164578,72433
"205","PARAMOUNT",0.0128240618053488,55194
"206","FAYETTEVILLE",0.0241593781604886,80263
"207","STATE COLLEGE",0.0169255158498796,56551
"208","HESPERIA",0.0408558218430731,92592
"209","VALDOSTA",0.0140607668552891,56862
"210","MERCED",0.0243313341589926,81603
"211","FORT MYERS",0.0211437452282848,69718
"212","DAVIS",0.0179732515835986,66360
"213","BROKEN ARROW",0.026452828801897,85283
"214","WEST NEW YORK",0.00953990484569216,52791
"215","PERTH AMBOY",0.0095493952858901,52332
"216","LAUDERHILL",0.0263116260125741,70506
"217","OLATHE",0.0537194958512032,133341
"218","CORAL SPRINGS",0.0407788921190844,127939
"219","BURLINGTON",0.00969616620747711,50936
"220","COLLEGE STATION",0.0307216335889565,101483
"221","CAMARILLO",0.0176654850604727,66272
"222","RIALTO",0.0308663686642376,102540
"223","CORONA",0.0451157571138345,161128
"224","HOFFMAN ESTATES",0.0173520609317787,52512
"225","SHELBY TOWNSHIP",0.0212090068276593,76556
"226","MINNETONKA",0.00903639606124006,51769
"227","SPRINGFIELD",0.0116091240762644,60377
"228","BOWLING GREEN",0.0147631850123808,62117
"229","UNION CITY",0.0190585656516557,73268
"230","NEW BRUNSWICK",0.00964956826992525,56193
"231","SANTA MARIA",0.0300449954458038,102885
"232","MEDFORD",0.020493611925264,78356
"233","WARNER ROBINS",0.0190375466224086,73063
"234","IDAHO FALLS",0.0118438223767153,58606
"235","GULFPORT",0.0214122693951033,71813
"236","THORNTON",0.0378163473326284,129442
"237","VACAVILLE",0.0263388050332415,94701
"238","CHINO",0.0215423437405279,81600
"239","CORVALLIS",0.00937647283162626,55541
"240","CORAL GABLES",0.00609910622360103,50316
"241","SPARKS",0.0253113136845634,94012
"242","ALISO VIEJO",0.0172290940543834,50671
"243","ELKHART",0.00783278692173059,51366
"244","WEST BLOOMFIELD TOWNSHIP",0.0147769026630664,66222
"245","NAPERVILLE",0.0278473824782208,97527
"246","SANTA CRUZ",0.0128232658946763,63440
"247","NOVATO",0.0082072775643197,54756
"248","REVERE",0.0110980004380022,54402
"249","DECATUR",0.00910343424264193,55744
